First Name,Last Name,Email,Program,Password
Sandra,Allen,sandra.allen@example.com,BSIT,DnscIC48291
Thomas,Wilson,thomas.wilson@example.com,BSIT,DnscIC48291
Sandra,Moore,sandra.moore@example.com,BSIT,DnscIC48291
Thomas,Harris,thomas.harris@example.com,BSIT,DnscIC48291
Margaret,Allen,margaret.allen@example.com,BSIT,DnscIC48291
Kimberly,Martinez,kimberly.martinez@example.com,BSIT,DnscIC48291
Karen,Moore,karen.moore@example.com,BSIT,DnscIC48291
James,Rodriguez,james.rodriguez@example.com,BSIT,DnscIC48291
Kimberly,Taylor,kimberly.taylor@example.com,BSIT,DnscIC48291
Linda,Moore,linda.moore@example.com,BSIT,DnscIC48291
Ashley,Smith,ashley.smith@example.com,BSIT,DnscIC48291
Sandra,Wilson,sandra.wilson@example.com,BSIT,DnscIC48291
Emily,Brown,emily.brown@example.com,BSIT,DnscIC48291
Lisa,Lewis,lisa.lewis@example.com,BSIT,DnscIC48291
Robert,Robinson,robert.robinson@example.com,BSIT,DnscIC48291
Jennifer,Wilson,jennifer.wilson@example.com,BSIT,DnscIC48291
Thomas,Lee,thomas.lee@example.com,BSIT,DnscIC48291
Barbara,Smith,barbara.smith@example.com,BSIT,DnscIC48291
Lisa,Clark,lisa.clark@example.com,BSIT,DnscIC48291
Linda,Taylor,linda.taylor@example.com,BSIT,DnscIC48291
