First Name,Last Name,Email,Program,Password
Maria,Johnson,maria.johnson@example.com,BSIT,DnscIC48291
Michael,Jones,michael.jones@example.com,BSIT,DnscIC48291
Richard,Rodriguez,richard.rodriguez@example.com,BSIT,DnscIC48291
Jessica,Lopez,jessica.lopez@example.com,BSIT,DnscIC48291
Charles,Anderson,charles.anderson@example.com,BSIT,DnscIC48291
Matthew,Jackson,matthew.jackson@example.com,BSIT,DnscIC48291
Betty,Perez,betty.perez@example.com,BSIT,DnscIC48291
Steven,Harris,steven.harris@example.com,BSIT,DnscIC48291
Joshua,Lewis,joshua.lewis@example.com,BSIT,DnscIC48291
Donna,Young,donna.young@example.com,BSIT,DnscIC48291
Ronald,Wright,ronald.wright@example.com,BSIT,DnscIC48291
Jason,Hill,jason.hill@example.com,BSIT,DnscIC48291
Melissa,Adams,melissa.adams@example.com,BSIT,DnscIC48291
Nicholas,Hall,nicholas.hall@example.com,BSIT,DnscIC48291
Eric,Carter,eric.carter@example.com,BSIT,DnscIC48291
Juan,Cruz,juan.cruz@example.com,BSIT,DnscIC48291
Antonio,Dela Cruz,antonio.delacruz@example.com,BSIT,DnscIC48291
Ricardo,Santos,ricardo.santos@example.com,BSIT,DnscIC48291
Mark,Bautista,mark.bautista@example.com,BSIT,DnscIC48291
Fernando,Garcia,fernando.garcia@example.com,BSIT,DnscIC48291
