First Name,Last Name,Email Address,Roles,ID Number
Adrian,Ong,adrian.ong@dnsc.ic.ph,Panelist,DnscIC53910
Ana,Lopez,ana.lopez@dnsc.ic.ph,"Adviser, Panelist",DnscIC92653
Bea,Uy,bea.uy@dnsc.ic.ph,"Instructor, Adviser",DnscIC73915
Carlos,Garcia,carlos.garcia@dnsc.ic.ph,"Adviser, Panelist",DnscIC37482
Chris,Diaz,chris.diaz@dnsc.ic.ph,Panelist,DnscIC95214
Clara,Dy,clara.dy@dnsc.ic.ph,Panelist,DnscIC15792
Daniel,Torres,daniel.torres@dnsc.ic.ph,Panelist,DnscIC51729
David,Smith,d.smith@dnsc.ic.ph,"Instructor, Adviser",DnscIC77889
Elena,Rossi,e.rossi@dnsc.ic.ph,"Instructor, Adviser",DnscIC44556
Ella,Gomez,ella.gomez@dnsc.ic.ph,Panelist,DnscIC36178
Ethan,Lim,ethan.lim@dnsc.ic.ph,Panelist,DnscIC40392
Grace,Flores,grace.flores@dnsc.ic.ph,Panelist,DnscIC68412
Ivy,Sy,ivy.sy@dnsc.ic.ph,Panelist,DnscIC76521
Jason,Kho,jason.kho@dnsc.ic.ph,"Instructor, Adviser",DnscIC48376
Joy,Herrera,joy.herrera@dnsc.ic.ph,Panelist,DnscIC51863
Juan,Dela Cruz,juan.delacruz@dnsc.ic.ph,"Adviser, Panelist",DnscIC48291
Ken,Co,ken.co@dnsc.ic.ph,"Program Chair, Adviser, Panelist",DnscIC34987
Kim,Chua,kim.chua@dnsc.ic.ph,Panelist,DnscIC81467
Leo,Navarro,leo.navarro@dnsc.ic.ph,Panelist,DnscIC77539
Liza,Mendoza,liza.mendoza@dnsc.ic.ph,Panelist,DnscIC64019
Marco,Polo,m.polo@dnsc.ic.ph,"Instructor, Adviser",DnscIC11223
Maria,Santos,maria.santos@dnsc.ic.ph,"Adviser, Panelist",DnscIC73920
Mark,Bautista,mark.bautista@dnsc.ic.ph,Panelist,DnscIC85173
Maya,Cruz,maya.cruz@dnsc.ic.ph,Panelist,DnscIC18763
Nina,Castro,nina.castro@dnsc.ic.ph,Panelist,DnscIC24681
Noel,Yu,noel.yu@dnsc.ic.ph,Panelist,DnscIC29856
Paul,Aquino,paul.aquino@dnsc.ic.ph,Panelist,DnscIC93057
Paula,Go,paula.go@dnsc.ic.ph,"Program Chair, Adviser, Panelist",DnscIC90234
Pedro,Reyes,pedro.reyes@dnsc.ic.ph,"Adviser, Panelist",DnscIC15847
Rose,Ramos,rose.ramos@dnsc.ic.ph,Panelist,DnscIC29384
Ryan,Villanueva,ryan.villanueva@dnsc.ic.ph,Panelist,DnscIC80942
Sophia,Tan,sophia.tan@dnsc.ic.ph,Panelist,DnscIC67285
Victor,Ang,victor.ang@dnsc.ic.ph,"Dean, Adviser, Panelist",DnscIC62841
