First Name,Last Name,Email,Program,Password
Patricia,Brown,patricia.brown@dnsc.ic.ph,BSIS,DnscIC48291
David,Miller,david.miller@dnsc.ic.ph,BSIS,DnscIC48291
Susan,Martinez,susan.martinez@dnsc.ic.ph,BSIS,DnscIC48291
Sarah,Wilson,sarah.wilson@dnsc.ic.ph,BSIS,DnscIC48291
Christopher,Taylor,chris.taylor@dnsc.ic.ph,BSIS,DnscIC48291
Margaret,Martin,margaret.martin@dnsc.ic.ph,BSIS,DnscIC48291
Sandra,White,sandra.white@dnsc.ic.ph,BSIS,DnscIC48291
Paul,Clark,paul.clark@dnsc.ic.ph,BSIS,DnscIC48291
Emily,Robinson,emily.robinson@dnsc.ic.ph,BSIS,DnscIC48291
Michelle,King,michelle.king@dnsc.ic.ph,BSIS,DnscIC48291
Timothy,Torres,timothy.torres@dnsc.ic.ph,BSIS,DnscIC48291
Amanda,Flores,amanda.flores@dnsc.ic.ph,BSIS,DnscIC48291
Deborah,Baker,deborah.baker@dnsc.ic.ph,BSIS,DnscIC48291
Scott,Campbell,scott.campbell@dnsc.ic.ph,BSIS,DnscIC48291
Cynthia,Roberts,cynthia.roberts@dnsc.ic.ph,BSIS,DnscIC48291
Pedro,Reyes,pedro.reyes@dnsc.ic.ph,BSIS,DnscIC48291
Allysa,Rebato,rebato.allysa@dnsc.ic.ph,BSIS,DnscIC48291
Elena,Villanueva,elena.villanueva@dnsc.ic.ph,BSIS,DnscIC48291
Grace,Aquino,grace.aquino@dnsc.ic.ph,BSIS,DnscIC48291
Jasmine,Lim,jasmine.lim@dnsc.ic.ph,BSIS,DnscIC48291
