First Name,Last Name,Email,Program,Password
Sandra,Allen,sandra.allen@dnsc.ic.ph,BSIT,DnscIC48291
Thomas,Wilson,thomas.wilson@dnsc.ic.ph,BSIT,DnscIC48291
Sandra,Moore,sandra.moore@dnsc.ic.ph,BSIT,DnscIC48291
Thomas,Harris,thomas.harris@dnsc.ic.ph,BSIT,DnscIC48291
Margaret,Allen,margaret.allen@dnsc.ic.ph,BSIT,DnscIC48291
Kimberly,Martinez,kimberly.martinez@dnsc.ic.ph,BSIT,DnscIC48291
Karen,Moore,karen.moore@dnsc.ic.ph,BSIT,DnscIC48291
James,Rodriguez,james.rodriguez@dnsc.ic.ph,BSIT,DnscIC48291
Kimberly,Taylor,kimberly.taylor@dnsc.ic.ph,BSIT,DnscIC48291
Linda,Moore,linda.moore@dnsc.ic.ph,BSIT,DnscIC48291
Ashley,Smith,ashley.smith@dnsc.ic.ph,BSIT,DnscIC48291
Sandra,Wilson,sandra.wilson@dnsc.ic.ph,BSIT,DnscIC48291
Emily,Brown,emily.brown@dnsc.ic.ph,BSIT,DnscIC48291
Lisa,Lewis,lisa.lewis@dnsc.ic.ph,BSIT,DnscIC48291
Robert,Robinson,robert.robinson@dnsc.ic.ph,BSIT,DnscIC48291
Jennifer,Wilson,jennifer.wilson@dnsc.ic.ph,BSIT,DnscIC48291
Thomas,Lee,thomas.lee@dnsc.ic.ph,BSIT,DnscIC48291
Barbara,Smith,barbara.smith@dnsc.ic.ph,BSIT,DnscIC48291
Lisa,Clark,lisa.clark@dnsc.ic.ph,BSIT,DnscIC48291
Linda,Taylor,linda.taylor@dnsc.ic.ph,BSIT,DnscIC48291
